name,language,phase,time_sec,memory_mb,output
fibonacci 30,Haskell,run,0.010703999999999998,3.578125,832040
fibonacci 30,Haskell,run,0.012402999999999999,3.58203125,832040
fibonacci 30,Haskell,run,0.010915000000000001,3.578125,832040
fibonacci 30,Haskell,run,0.012171,3.57421875,832040
fibonacci 30,Java,compile,1.015614,72.02734375,
fibonacci 30,Java,run,0.065365,26.12890625,832040
fibonacci 30,Java,run,0.063442,26.109375,832040
fibonacci 30,Java,run,0.074487,26.09765625,832040
fibonacci 30,Java,run,0.061822999999999996,26.11328125,832040
fibonacci 30,Java,run,0.064982,26.12890625,832040
fibonacci 30,Java,run,0.061857999999999996,26.1328125,832040
fibonacci 30,Java,run,0.062376999999999995,26.11328125,832040
fibonacci 30,Java,run,0.062172,26.1171875,832040
fibonacci 30,Java,run,0.061209,26.12890625,832040
fibonacci 30,Java,run,0.061424,26.13671875,832040
fibonacci 30,Python,run,0.257528,6.45703125,832040
fibonacci 30,Python,run,0.265971,6.40625,832040
fibonacci 30,Python,run,0.26166,6.41015625,832040
fibonacci 30,Python,run,0.257389,6.41796875,832040
fibonacci 30,Python,run,0.261872,6.44140625,832040
fibonacci 30,Python,run,0.26268499999999995,6.3984375,832040
fibonacci 30,Python,run,0.258583,6.41015625,832040
fibonacci 30,Python,run,0.262026,6.453125,832040
fibonacci 30,Python,run,0.265118,6.4453125,832040
fibonacci 30,Python,run,0.26236,6.44140625,832040
fibonacci 30,Ruby,run,0.181962,10.5546875,832040
fibonacci 30,Ruby,run,0.18162699999999998,10.44140625,832040
fibonacci 30,Ruby,run,0.17613600000000001,10.53515625,832040
fibonacci 30,Ruby,run,0.17583100000000002,10.59375,832040
fibonacci 30,Ruby,run,0.17245,10.6015625,832040
fibonacci 30,Ruby,run,0.175028,10.5703125,832040
fibonacci 30,Ruby,run,0.170081,10.421875,832040
fibonacci 30,Ruby,run,0.177719,10.44140625,832040
fibonacci 30,Ruby,run,0.172037,10.48828125,832040
fibonacci 30,Ruby,run,0.17105499999999998,10.47265625,832040
